City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Longyearbyen,20,SJ,1603409089,79,78.22,15.64,19.4,5.82
João Monlevade,68,BR,1603409089,95,-19.81,-43.17,65.28,3.71
Paamiut,0,GL,1603409089,84,61.99,-49.67,31.33,31.7
Kinsale,75,IE,1603409089,76,51.71,-8.53,50.0,16.11
Husavik,90,IS,1603409089,64,66.04,-17.34,39.2,5.82
Itoman,75,JP,1603409090,73,26.12,127.67,73.4,26.4
Bosaso,69,SO,1603409090,62,11.28,49.18,78.87,3.65
Sa Kaeo,100,TH,1603409090,68,13.75,102.33,66.99,5.95
Sokone,0,SN,1603409090,94,13.88,-16.37,80.6,6.51
Bodden Town,20,KY,1603408841,83,19.28,-81.25,82.4,3.36
Zabaykal'sk,0,RU,1603409090,92,49.63,117.32,25.74,4.47
Puerto Baquerizo Moreno,53,EC,1603409090,84,-0.9,-89.6,69.37,9.93
Faya,0,SA,1603409090,19,18.39,42.45,60.8,5.82
Salinópolis,50,BR,1603409024,77,-0.61,-47.36,80.56,12.71
Robertsport,87,LR,1603409091,82,6.75,-11.37,79.65,7.14
Boffa,59,GN,1603409091,88,10.17,-14.03,78.13,0.34
Beirut,0,LB,1603409091,60,33.89,35.49,73.4,2.24
Moïssala,100,TD,1603409091,85,8.34,17.77,72.39,3.67
São João da Barra,24,BR,1603408786,81,-21.64,-41.05,71.11,12.53
Ballarat,100,AU,1603409091,88,-37.57,143.85,66.99,6.73
Seoul,1,KR,1603408807,56,37.57,126.98,44.6,9.13
Mandalī,0,IQ,1603409091,19,33.75,45.55,75.78,10.16
Mut,0,TR,1603409091,54,36.64,33.44,61.18,1.25
Nortelândia,56,BR,1603409091,54,-14.45,-56.8,83.1,3.74
Vostok,100,RU,1603409091,99,46.49,135.88,31.21,3.02
Hammelburg,99,DE,1603409092,85,50.12,9.9,57.99,4.0
Camacha,20,PT,1603409092,68,33.08,-16.33,66.2,10.29
Onega,100,RU,1603409092,98,63.91,38.14,31.62,15.28
Klyuchi,97,RU,1603409092,71,52.27,79.17,39.02,11.32
Udimskiy,94,RU,1603409092,96,61.14,45.91,26.96,7.27
Binalbagan,98,PH,1603409092,78,10.19,122.86,81.54,4.59
Sola,90,VU,1603409092,94,-13.88,167.55,78.8,11.9
Ji’an,0,CN,1603409092,75,27.12,114.98,53.89,6.2
Palana,0,RU,1603409092,78,59.12,159.97,37.72,4.18
Usinsk,96,RU,1603409045,96,65.99,57.53,24.53,11.25
Osvaldo Cruz,85,BR,1603409092,57,-21.8,-50.88,80.26,10.0
Hongjiang,0,CN,1603409093,74,27.11,110.0,53.87,2.1
Kroya,55,ID,1603409093,85,-7.63,109.25,68.0,2.82
Vila Velha,75,BR,1603409086,78,-20.33,-40.29,77.0,9.17
Yanam,100,IN,1603409074,90,16.73,82.22,74.08,3.27
Iquique,90,CL,1603408953,77,-20.22,-70.14,62.6,13.87
Sucre,99,BO,1603409093,66,-19.03,-65.26,60.26,5.14
Ichnya,87,UA,1603409093,83,50.86,32.39,51.28,7.83
Launceston,90,AU,1603409011,81,-41.45,147.17,55.0,10.29
Scottsbluff,90,US,1603409094,79,41.87,-103.67,32.0,20.8
Aklavik,90,CA,1603409034,92,68.22,-135.01,23.0,4.7
Quatre Cocos,75,MU,1603408836,88,-20.21,57.76,71.6,11.41
Osmaniye,0,TR,1603409094,79,37.07,36.25,71.01,4.0
Xiongyue,0,CN,1603409094,63,40.18,122.12,40.87,11.92
Chapais,75,CA,1603409094,92,49.78,-74.85,30.2,3.36
Al Bardīyah,12,LY,1603408810,66,31.76,25.09,67.73,6.38
Belyy Yar,0,RU,1603409094,56,53.6,91.39,44.6,8.95
Terekli-Mekteb,79,RU,1603409094,74,44.17,45.87,54.16,3.02
Loandjili,100,CG,1603409094,86,-4.76,11.86,77.65,8.39
Akureyri,90,IS,1603409095,64,65.68,-18.09,39.2,5.82
Mendoza,0,AR,1603409095,38,-32.89,-68.83,75.2,3.36
La Paz,75,BO,1603409095,93,-16.5,-68.15,42.8,18.34
Rāwatbhāta,1,IN,1603409095,59,24.93,75.58,74.61,1.3
Moussoro,0,TD,1603409095,13,13.64,16.49,86.14,11.18
Talara,8,PE,1603409095,85,-4.58,-81.27,65.26,13.6
Rantauprapat,100,ID,1603409095,86,2.1,99.83,73.15,1.63
Bubaque,12,GW,1603408799,80,11.28,-15.83,83.61,10.92
Semey,0,KZ,1603409095,60,50.41,80.23,39.2,11.18
Upington,82,ZA,1603409096,21,-28.45,21.26,80.6,2.24
Guibéroua,11,CI,1603409096,99,6.24,-6.17,71.96,2.35
Ahipara,60,NZ,1603408828,72,-35.17,173.17,67.6,7.05
Caraquet,1,CA,1603409096,86,47.79,-64.94,39.2,2.24
Chitipa,3,MW,1603409096,76,-9.7,33.27,64.81,5.93
Marathon,90,US,1603409096,100,44.9,-89.77,34.0,9.17
Karatau,100,KZ,1603409096,63,43.17,70.47,43.56,3.76
Villamontes,100,BO,1603409096,61,-21.25,-63.5,79.41,3.18
Auki,99,SB,1603409040,63,-8.77,160.7,85.89,2.95
Ocampo,4,MX,1603409096,25,21.65,-101.5,72.16,9.37
Sambava,0,MG,1603409038,81,-14.27,50.17,71.24,9.4
Imeni Poliny Osipenko,100,RU,1603409097,86,52.42,136.49,38.08,3.02
Fukuechō,40,JP,1603409097,58,32.69,128.84,59.0,20.8
Sangar,49,RU,1603409097,94,63.92,127.47,12.49,6.78
Bereket,86,TM,1603409097,46,39.24,55.52,52.83,8.72
Bara,67,NG,1603409097,30,10.37,10.73,75.97,2.08
Udachny,90,RU,1603409025,100,66.42,112.4,17.6,6.71
Menongue,10,AO,1603408825,58,-14.66,17.69,67.39,5.66
Lumeje,89,AO,1603409097,71,-11.55,20.78,69.91,3.6
Montluçon,100,FR,1603409097,89,46.33,2.6,60.01,3.96
Kerema,100,PG,1603408986,85,-7.96,145.78,78.91,1.97
Maceió,40,BR,1603408846,88,-9.67,-35.74,77.0,6.93
Babu,0,CN,1603409098,78,24.42,111.52,57.11,5.01
Lüshunkou,0,CN,1603409098,42,38.8,121.27,48.2,11.18
Inírida,45,CO,1603409098,77,3.87,-67.92,80.22,2.82
Bondo,93,CD,1603409098,92,3.81,23.69,68.7,0.94
Ternate,18,ID,1603409098,78,0.8,127.4,81.81,1.3
Susanville,1,US,1603409098,22,40.42,-120.65,57.0,3.36
Havelock,90,US,1603409098,69,34.88,-76.9,73.4,4.7
Papetoai,75,PF,1603409098,69,-17.5,-149.87,80.6,2.24
Aljezur,0,PT,1603409099,84,37.32,-8.8,61.12,8.16
Chumphon,75,TH,1603409099,94,10.33,98.83,77.0,1.12
Bagadó,95,CO,1603409099,91,5.41,-76.42,76.42,2.82
Bayan,0,CN,1603409099,84,46.08,127.4,30.31,7.23
Tāybād,0,IR,1603409099,58,34.74,60.78,45.77,9.42
Manicoré,96,BR,1603409099,94,-5.81,-61.3,74.5,3.71
Emba,0,KZ,1603409099,91,48.83,58.14,27.36,5.68
Tsiroanomandidy,3,MG,1603409099,51,-18.77,46.03,67.6,3.49
Carballo,40,ES,1603409099,93,43.21,-8.69,57.99,5.82
Butajīra,35,ET,1603409099,39,8.12,38.37,57.72,5.75
Mayo,1,US,1603409099,94,38.89,-76.51,70.0,6.33
Wuwei,0,CN,1603409100,51,37.93,102.64,41.0,2.73
Muisne,90,EC,1603409100,81,0.6,-80.03,75.22,8.63
Buraidah,0,SA,1603409100,32,26.33,43.98,69.8,5.82
Ilhabela,30,BR,1603409084,82,-23.78,-45.36,70.74,13.49
Asău,0,RO,1603409095,70,46.43,26.4,51.01,5.53
Port Hardy,90,CA,1603409100,81,50.7,-127.42,46.4,4.7
Kibala,67,TD,1603409100,80,9.11,18.35,73.17,3.18
Tinskoy,98,RU,1603409100,76,56.15,96.92,42.3,9.8
Fort Atkinson,90,US,1603409101,100,42.93,-88.84,53.6,3.36
San Cristobal,20,VE,1603408905,55,7.77,-72.22,89.6,9.17
Hobyo,72,SO,1603408827,86,5.35,48.53,79.95,20.98
Kapuskasing,90,CA,1603409101,92,49.42,-82.43,33.8,2.24
Okhotsk,100,RU,1603409101,92,59.38,143.3,38.46,36.26
Marijampolė,8,LT,1603409101,87,54.57,23.35,51.8,5.82
Qaqortoq,0,GL,1603409101,57,60.72,-46.03,23.0,6.93
Krasnosel'kup,100,RU,1603409033,95,65.7,82.47,8.08,8.88
Lavrentiya,0,RU,1603409031,80,65.58,-171.0,37.45,8.63
Nouakchott,0,MR,1603408904,65,18.09,-15.98,80.6,11.41
Mâncio Lima,68,BR,1603409102,73,-7.61,-72.9,77.97,2.82
Wajir,50,KE,1603409045,58,1.75,40.06,79.93,16.6
Winnemucca,1,US,1603408820,18,40.97,-117.74,51.8,12.75
Waipawa,13,NZ,1603408847,72,-41.41,175.52,64.0,23.04
Måløy,7,NO,1603408928,60,61.94,5.11,42.01,8.05
Mareeba,40,AU,1603409102,54,-17.0,145.43,87.01,11.41
Omboué,100,GA,1603409022,86,-1.57,9.26,77.27,7.29
Termez,0,UZ,1603409103,43,37.22,67.28,50.0,16.11
Katete,100,UG,1603409103,97,-0.78,29.75,60.96,2.17
Manokwari,90,ID,1603409032,71,-0.87,134.08,83.8,8.63
Kota,1,IN,1603409103,55,25.18,75.83,75.58,0.67
Willowmore,75,ZA,1603409103,41,-33.29,23.49,67.87,8.93
South Kazakhstan Region,100,KZ,1603409103,51,43.0,68.0,47.08,7.67
Freeport,1,US,1603408900,88,40.66,-73.58,66.99,4.83
Berlevåg,100,NO,1603409038,78,70.86,29.09,37.92,26.64
Arroyo de la Encomienda,40,ES,1603409104,93,41.61,-4.8,53.01,5.82
Hell,75,NO,1603409104,93,63.45,10.9,32.0,3.36
Nur-Sultan,0,KZ,1603409104,92,51.18,71.45,24.8,11.18
Nongstoin,100,IN,1603409104,99,25.52,91.27,60.8,1.1
Port Lincoln,100,AU,1603409101,90,-34.73,135.87,59.85,21.3
Sinnamary,71,GF,1603409105,81,5.38,-52.95,81.41,11.56
Lincoln Village,1,US,1603409105,64,39.95,-83.13,73.4,4.7
Kaihua,83,CN,1603409105,69,23.37,104.28,48.29,5.44
Inuvik,90,CA,1603409093,92,68.35,-133.72,19.4,4.7
Cockburn Town,0,TC,1603409105,78,21.46,-71.14,81.86,17.78
Sept-Îles,75,CA,1603409105,80,50.2,-66.38,39.0,3.36
Shankargarh,24,IN,1603409105,53,25.18,81.62,72.75,3.15
Mendi,87,PG,1603409105,80,-6.18,143.65,65.5,2.19
Rybachiy,75,RU,1603409106,71,48.71,44.74,50.0,13.42
Buriti dos Lopes,83,BR,1603409106,76,-3.17,-41.87,79.68,8.16
Amlamé,35,TG,1603409106,93,7.47,0.9,71.56,2.1
Touros,40,BR,1603408796,83,-5.2,-35.46,78.8,5.82
Constitución,3,CL,1603409022,77,-35.33,-72.42,53.94,11.81
Dunmore East,97,IE,1603409106,81,52.15,-6.99,51.01,5.99
Gucheng,0,CN,1603409106,45,35.91,111.32,47.41,2.51
Masallātah,0,LY,1603409106,64,32.62,14.0,64.24,13.42
Konëvo,100,RU,1603409107,97,62.12,39.32,32.52,11.79
Kirkenær,100,NO,1603409107,99,60.46,12.06,41.0,1.99
Sangīn,0,AF,1603409107,43,32.07,64.84,46.29,3.6
San Patricio,40,US,1603409021,74,28.02,-97.52,82.4,13.87
